country,date,gdp,sol,pop,gdpc,gdpGrowth,gdpcGrowth
KOT,1837-01-13,0.062106568679999995,9.2576,3.2573300000000005,19066.710674079688,0,0
KOT,1838-01-19,0.06563377756000001,9.23204,3.3332000000000006,19690.92090483619,0.0380855087189329,0.019737780374786906
KOT,1839-01-25,0.06125785952,8.41458,3.41299,17948.44389230557,-0.06934796062597004,-0.08513710180934275
KOT,1840-01-31,0.06856768776,9.21892,3.49045,19644.36899540174,0.048161766671362516,0.029896570472119466
KOT,1841-02-06,0.070684718,9.23115,3.57314,19782.241389925945,0.0402713743548353,0.022179996767202947
KOT,1842-02-12,0.1827064226,7.58111,3.6603400000000006,49915.15066906352,1.0587192125979703,1.026948333339079
KOT,1843-02-18,0.18371691676,7.61536,3.71849,49406.32266323158,-0.006073657483725681,-0.01812197727388931
KOT,1844-02-24,0.22750228852,7.83214,3.80211,59835.79868020652,0.21879887921276597,0.1965897875200835
KOT,1845-03-02,0.2243884058,8.47919,3.87626,57887.86247568533,-0.013841273741693416,-0.028037190339267548
KOT,1846-03-08,0.23330721908000002,7.76499,3.94218,59182.28469527013,0.0229431662072499,0.009160038854339803
KOT,1847-03-14,0.22823952632,8.54993,4.00337,57011.84909713566,-0.010875096472703571,-0.02440384592378142
KOT,1848-03-20,0.22339601543999998,7.69957,4.06309,54981.8033664034,-0.007817144412633481,-0.01858748962794854
KOT,1849-03-26,0.27545726572,7.58547,4.09921,67197.64679535813,0.23235549702424585,0.22148428508281426
KOT,1850-04-01,0.2846008724,7.78525,4.0372,70494.61815119389,0.02470132951206483,0.04041639559350907
KOT,1851-04-07,0.28746576195999995,7.82006,3.99044,72038.61277453112,-0.0021964032803227784,0.0070973695468590225
KOT,1852-04-13,0.31935147608,7.78177,3.9279,81303.36212225362,0.09766970915728024,0.11082716082417177
KOT,1853-04-19,0.30133382708,8.5344,3.98291,75656.70002083904,-0.03631113766355565,-0.04624782944297767
KOT,1854-04-25,0.29256171516,8.55318,4.04635,72302.62215577002,-0.0244642592571519,-0.03609627743128907
KOT,1855-05-01,0.32380474672,8.5725,4.12724,78455.51669396498,0.03317617079655588,0.018310200688320233
KOT,1856-05-07,0.5049770580399999,7.62254,4.19112,120487.37760789478,0.47030605783220025,0.4529532449981388
KOT,1857-05-13,0.53596762284,7.55414,4.24861,126151.28779530244,0.05449472274875555,0.04354903297065049
