country,date,gdp,sol,pop,gdpc,gdpGrowth,gdpcGrowth
GCO,1837-01-13,1.01852496408,8.93505,16.40758,62076.489286049495,0,0
GCO,1838-01-19,0.9560021920799999,9.59233,16.65722,57392.66168544331,0.03297569526653765,0.02086935364100917
GCO,1839-01-25,1.07967354352,9.6379,16.92714,63783.57735092875,0.0018403728350253612,-0.010227913490476581
GCO,1840-01-31,1.0305253712,10.08259,17.20461,59898.211653737,-0.05487395801452777,-0.06615880134550844
GCO,1841-02-06,1.0632485292,10.31538,17.4963,60769.90730611615,0.035243307954862635,0.022015274430145393
GCO,1842-02-12,1.1040771346799998,10.08041,17.80779,61999.671754889285,0.05881080434644148,0.04478200215089112
GCO,1843-02-18,1.14478682916,9.99393,18.11956,63179.61524231273,0.07807220367896517,0.06417461555620574
GCO,1844-02-24,1.19209654564,10.3226,18.42688,64693.34719930883,0.1180413774498612,0.10399281069193744
GCO,1845-03-02,1.3919298171999999,10.13996,18.74743,74246.43362850267,0.19108395610048534,0.17559091603184118
GCO,1846-03-08,1.2186312086,10.32241,19.06991,63903.35395395154,-0.07885766829916407,-0.09067356022478412
GCO,1847-03-14,1.2158279463200001,9.02609,19.34548,62848.16640993143,0.019456088269495853,0.008444575042894753
GCO,1848-03-20,1.3551153382,10.35504,19.63353,69020.46337057065,0.04386638465893,0.032401302514514674
GCO,1849-03-26,1.54159249244,10.26062,20.02665,76977.05269927821,0.09572552823409852,0.0791992314548271
GCO,1850-04-01,1.5917036824000002,10.20142,20.44171,77865.48593048233,0.014327391478622387,-0.0012573090989802527
GCO,1851-04-07,1.7117344727600001,9.96163,20.84203,82128.97077491971,0.06934699913317144,0.05386380001317792
GCO,1852-04-13,1.55356351436,10.03957,21.23901,73146.70101666696,0.03713740129662324,0.022267944301703757
GCO,1853-04-19,1.40657699468,9.85322,21.5993,65121.41572550962,-0.08731275376512848,-0.09876737268383162
GCO,1854-04-25,1.5677981098,9.85213,22.925989999999995,68385.18684689299,0.09530294540892559,0.0637964132575215
GCO,1855-05-01,1.77246554004,10.04511,27.28391,64963.76582535275,0.1349012288253597,-0.015369688594607633
GCO,1856-05-07,1.78312601844,9.93899,28.04704,63576.26396368387,0.0140691049629178,-0.0040359738602806505
GCO,1857-05-13,1.90837257052,9.72604,29.47824,64738.34837222304,0.06776052248249398,0.025528052239726984
GCO,1858-05-19,1.8004545280800002,10.12202,30.56376,58908.148999992154,-0.02180629119257438,-0.04263513745506198
GCO,1859-05-25,2.00447758212,10.07745,32.05807,62526.45845866579,0.07227706381627708,0.030895924261588714
GCO,1860-05-31,2.28024860596,10.09625,32.71756,69694.94687134371,0.05724495701565813,0.04096105369753644
GCO,1861-06-06,2.13187039572,10.24088,33.4217,63787.01250145863,-0.010025675115476695,-0.02572393729995348
GCO,1862-06-12,2.47682068348,10.17845,34.07235,72692.98077414678,0.13373206536684057,0.11751255315519304
GCO,1863-06-18,2.5279043987599996,10.22215,33.81743,74751.5230684295,-0.009813495402221761,0.011565172224824005
GCO,1864-06-24,2.62443650196,10.09572,36.40991,72080.27984578923,0.013598923600241175,-0.040794190534237385
GCO,1865-06-30,2.55865034412,10.08874,38.35315000000001,66712.91260613535,-0.033994669059595695,-0.07097269705640674
GCO,1866-07-06,2.67940358608,10.04059,39.10089000000001,68525.38615054541,0.059416854520074835,0.04384542026851457
GCO,1867-07-12,2.92324992752,9.82114,39.79076,73465.54646154032,0.0724179489447454,0.05848805460818607
GCO,1868-07-18,3.6660877505199996,9.47424,64.47846,56857.55755518975,0.12096850863495012,-0.1682885449336986
GCO,1869-07-24,4.26909892604,9.78972,65.53116,65146.09120363504,0.21113568091412382,0.1961203529311093
GCO,1870-07-30,4.04832230504,9.70039,66.61165,60774.98913538398,-0.05008124958960303,-0.06148954470999635
GCO,1871-08-05,4.55969742852,9.77916,67.74032,67311.42440012093,0.05387794205897323,0.040435665355475825
GCO,1872-08-11,4.8700687724,9.9918,69.62258,69949.55907120937,0.03949835743554231,0.018018412009729756
GCO,1873-08-17,5.314052679,10.16493,70.98925,74857.14638483996,0.04699164253910282,0.03187644804680789
GCO,1874-08-23,5.11954914328,9.61237,72.23591,70872.63306131258,-0.0394338261651167,-0.05212883250053579
GCO,1875-08-29,5.59061514752,10.0119,73.61237,75946.68053100315,0.09096501858139772,0.07556698683536456
GCO,1876-09-04,5.9727109161200005,10.32335,75.13152,79496.74006488889,0.05921414339585329,0.04330726193450363
GCO,1877-09-10,6.48367171452,10.35568,76.7808,84443.91976275318,0.07333989210681757,0.05577280513642324
GCO,1878-09-16,6.6756695148,10.31845,78.40271,85145.90267096634,0.039472339697426584,0.023366095659447028
GCO,1879-09-22,6.85407838492,10.35484,80.01191,85663.22669862524,0.009256045712765282,-0.006116694090650077
