country,date,gdp,sol,pop,gdpc,gdpGrowth,gdpcGrowth
JAS,1837-01-13,0.009199018400000002,7.97934,0.50683,18150.10634729594,0,0
JAS,1838-01-19,0.032159194599999996,8.17759,0.56111,57313.52961094972,0.6760840401198605,0.5465881029582789
JAS,1839-01-25,0.054924007319999996,7.42223,0.59252,92695.61756565177,0.22858945714577406,0.1843084316371728
JAS,1840-01-31,0.053861605199999996,7.44396,0.60447,89105.50598044568,-0.026910954789512442,-0.04139629734691763
JAS,1841-02-06,0.05408889876,7.47634,0.6163,87763.91166639623,0.02654495199087048,0.011120027730891602
JAS,1842-02-12,0.0629630872,7.46186,0.65719,95806.52048874754,0.09819611525685201,0.048799852110162245
JAS,1843-02-18,0.17053252164,6.46038,0.76066,224190.20540057318,1.873646822019706,1.5119329670242667
JAS,1844-02-24,0.176175792,6.35302,0.82852,212639.15415439577,0.04962377013278507,-0.02493177012880754
JAS,1845-03-02,0.16206975408000002,6.23943,0.92825,174597.09569620254,-0.02374193347693132,-0.1092965726392161
JAS,1846-03-08,0.1565014022,7.31172,1.04532,149716.26124057706,-0.02867305620256211,-0.11006498971125833
JAS,1847-03-14,0.16029587288000002,7.38527,1.2455,128700.01837013249,0.01715060133382651,-0.11415607645476533
JAS,1848-03-20,0.1549980016,7.98663,1.5894,97519.81980621618,-0.025760829826276588,-0.2008414615592401
JAS,1849-03-26,0.17096973348,8.01695,1.95235,87571.25181447998,0.05943613985126617,-0.08966074240455346
JAS,1850-04-01,0.1765161476,8.19404,2.2575,78190.98454042082,0.018127704910658737,-0.0872522541085129
JAS,1851-04-07,0.16908561019999999,8.20221,2.63896,64072.82042926001,-0.037451237326610265,-0.1439299385265157
JAS,1852-04-13,0.19054528116000002,9.00514,3.07092,62048.27255675824,0.05888686183516523,-0.0573805814945364
JAS,1853-04-19,0.20846710196,9.06987,3.55471,58645.31901617853,0.04715665348761133,-0.06561974002915616
JAS,1854-04-25,0.21991762676,9.03531,4.06491,54101.47500436664,0.02890041905886953,-0.07514623634290962
JAS,1855-05-01,0.2325115676,9.09948,4.50216,51644.44790944791,0.0817992177005531,-0.0014526715259555179
JAS,1856-05-07,0.25276715256,9.07082,4.74126,53312.23188772605,0.0539891107160293,0.012380317751377934
JAS,1857-05-13,0.46868591692,8.3899,5.0537,92741.14350278013,0.6024259857264933,0.5215766688957506
JAS,1858-05-19,0.53972693684,7.21188,5.11148,105591.12758731325,0.17319423768062348,0.1640062934991715
JAS,1859-05-25,0.58802339544,7.14455,5.14483,114294.03798376235,0.08102153718380611,0.07524579495580408
JAS,1860-05-31,0.27334974212,7.70138,5.17692,52801.616041970905,-0.6027014603162062,-0.6046416991498784
JAS,1861-06-06,0.2444850954,6.65755,5.1575,47403.799398933596,-0.4195061146297472,-0.41796147936035866
JAS,1862-06-12,0.23823262892,6.52796,4.80038,49627.86881871852,-0.012456620920990424,0.044093157544419226
JAS,1863-06-18,0.29821046788,8.76841,4.6545,64069.2808851649,0.24639218146469188,0.2749154526828548
JAS,1864-06-24,0.29819956972,9.50917,4.74403,62857.85918723111,0.001010204428917305,-0.013116140701213364
JAS,1865-06-30,0.29234300731999996,9.47798,4.83182,60503.70405354504,-0.025867550454356403,-0.03945171318635443
JAS,1866-07-06,0.33218269396,8.619,4.91884,67532.73006643842,0.12874256668212247,0.11391878756424667
JAS,1867-07-12,0.30945561348,7.48084,4.9733,62223.395628657025,-0.05811881957884568,-0.06645562055668341
JAS,1868-07-18,0.30609133256,7.40824,5.00674,61135.85537894918,-0.007977439087900717,-0.012985816019827956
JAS,1869-07-24,0.30179268859999997,8.27903,5.05175,59740.226376998064,-0.012221105351250205,-0.018622516549028356
JAS,1870-07-30,0.3008418192,8.26835,5.09578,59037.44258975074,-0.0011137613277748537,-0.007987579627440011
JAS,1871-08-05,0.30625324183999997,8.24643,5.1398,59584.661239736946,0.02032376044791051,0.013572270588400048
JAS,1872-08-11,0.3035085716,8.21547,5.18205,58569.20940554414,-0.006211250917109279,-0.011780981559802228
JAS,1873-08-17,0.30753465392,8.39229,5.22487,58859.77142397801,0.01610877243612152,0.009334822582036217
JAS,1874-08-23,0.30807289292,8.36497,5.26707,58490.3737599842,0.001686507863970288,-0.004376462568355444
JAS,1875-08-29,0.30954346384,8.29282,5.31632,58225.137659132626,0.0034263483068341927,-0.0035851637634116695
JAS,1876-09-04,0.30830708376,8.09406,5.36366,57480.72841306123,-0.004467334012323687,-0.011325545687303595
JAS,1877-09-10,0.30298684676,7.89706,5.40576,56048.88984342627,-0.0018727580967328183,-0.007205754361105043
JAS,1878-09-16,0.313792258,8.13327,5.44786,57599.178025867026,0.021653913801022995,0.015324047734168733
JAS,1879-09-22,0.31073725956,8.10665,5.48826,56618.538400148675,-0.008273797368332558,-0.013887251130365152
JAS,1880-09-28,0.30389981284,8.13474,5.53033,54951.47899673257,-0.012892789659759596,-0.01822867969955355
JAS,1881-10-04,0.28702021452,8.33794,5.56053,51617.420375395865,-0.01617910164315961,-0.020775665653654962
JAS,1882-10-10,0.28815047352,8.31319,5.60855,51377.00003031086,0.0048480529427110675,-0.0018011897066360083
JAS,1883-10-16,0.30154805459999995,8.29914,5.66599,53220.71775629678,0.03935747934232903,0.03137233450644894
JAS,1884-10-22,0.3063723156,8.24497,5.71914,53569.647814181844,0.007889337374306082,0.00048551296147247847
JAS,1885-10-28,0.32088260152000003,8.34913,5.77932,55522.553089290785,0.036897990627660526,0.029166495473375686
JAS,1886-11-03,0.30744951328000003,8.32782,5.82487,52782.210294822034,-0.03560009105513284,-0.0417647997599766
